idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,RED,NIR,SWIR_1,SWIR_2,NDVI,EVI,NBR,IMG_COUNT,VV,VH,angle,l8_found,l8_file,l8_year,l8_month,s1_found,s1_file,s1_date
487.0,5.47124,-73.55144,302.01,0.56,0.43,2015-04-30,0609,N,VIIRS,n,2,275.64,1.48,N,2.0,2015-04-30,2015.0,4.0,30.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-04-30,SAMACA,2015-04-27,3.0,3.0,ventana_5dias,2015-04-30,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,19,<NA>,1,,102,0.04408999904990196,0.08784250169992447,0.11575499922037125,0.10678999871015549,0.3316279351711273,0.09166225790977478,-0.13709646463394165,4.0,-8.52856731414795,-15.049419403076172,45.20566177368164,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
489.0,5.47076,-73.55022,304.77,0.47,0.4,2015-04-23,0640,N,VIIRS,n,2,280.3,1.32,N,2.0,2015-04-23,2015.0,4.0,23.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-04-23,SAMACA,2015-04-27,-4.0,4.0,ventana_5dias,2015-04-23,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,26,<NA>,1,,103,0.0451899990439415,0.10714749991893768,0.113087497651577,0.08817250281572342,0.4067120850086212,0.12655170261859894,-0.026971179991960526,4.0,-10.795968055725098,-16.745986938476562,45.211151123046875,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
561.0,5.47763,-73.52711,295.64,0.62,0.54,2015-04-22,0659,N,VIIRS,n,2,280.86,1.95,N,2.0,2015-04-22,2015.0,4.0,22.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-04-22,SAMACA,2015-04-27,-5.0,5.0,ventana_5dias,2015-04-22,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,27,<NA>,1,,109,0.0177449993789196,0.09573499858379364,0.057372499257326126,0.030615000054240227,0.6872576475143433,0.16714996099472046,0.2505592405796051,4.0,-10.384133338928223,-15.177614212036133,45.349754333496094,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
562.0,5.47135,-73.55031,301.71,0.62,0.54,2015-04-22,0659,N,VIIRS,n,2,278.93,2.16,N,2.0,2015-04-22,2015.0,4.0,22.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-04-22,SAMACA,2015-04-27,-5.0,5.0,ventana_5dias,2015-04-22,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,27,<NA>,1,,110,0.05800500139594078,0.12147500365972519,0.12744249403476715,0.10912749916315079,0.35363271832466125,0.1289183795452118,-0.023973768576979637,4.0,-9.202054977416992,-16.038082122802734,45.212059020996094,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
563.0,5.47146,-73.55441,295.27,0.47,0.4,2015-04-23,0640,N,VIIRS,n,2,280.06,0.8,N,2.0,2015-04-23,2015.0,4.0,23.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-04-23,SAMACA,2015-04-27,-4.0,4.0,ventana_5dias,2015-04-23,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,26,<NA>,1,,111,0.048215001821517944,0.10676249861717224,0.11363749951124191,0.09518499672412872,0.37778061628341675,0.12232538312673569,-0.031193289905786514,4.0,-4.958093643188477,-12.05579948425293,45.18920135498047,True,L8_2015_05.tif,2015,5,True,S1_2015_2.tif,2015-05-19
464.0,5.47236,-73.55087,295.46,0.46,0.39,2015-05-05,0615,N,VIIRS,n,2,273.94,1.5,N,2.0,2015-05-05,2015.0,5.0,5.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-05-05,SAMACA,2015-05-05,0.0,0.0,exacta,2015-05-05,<NA>,<NA>,<NA>,<NA>,150,2015-05-19 00:00:00,2,6,<NA>,<NA>,<NA>,<NA>,14,<NA>,1,,93,0.0699400007724762,0.1417424976825714,0.1411924958229065,0.11014500260353088,0.339199036359787,0.13212759792804718,0.0019439159659668803,3.0,-8.64873218536377,-15.552852630615234,45.20991897583008,True,L8_2015_06.tif,2015,6,True,S1_2015_2.tif,2015-05-19
410.0,5.47674,-73.52843,301.14,0.38,0.36,2015-08-19,0626,N,VIIRS,n,2,281.29,1.41,N,2.0,2015-08-19,2015.0,8.0,19.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-08-19,SAMACA,2015-08-19,0.0,0.0,exacta,2015-08-19,<NA>,<NA>,<NA>,<NA>,150,2015-09-16 00:00:00,4,7,<NA>,<NA>,<NA>,<NA>,28,<NA>,1,,78,0.03795750066637993,0.11179500073194504,0.0833050012588501,0.055364999920129776,0.4930635392665863,0.15453770756721497,0.14602766931056976,4.0,-10.395694732666016,-16.617971420288086,45.365028381347656,True,L8_2015_09.tif,2015,9,True,S1_2015_4.tif,2015-09-16
431.0,5.47484,-73.5379,298.55,0.4,0.37,2015-11-18,0619,N,VIIRS,n,2,278.21,0.81,N,0.0,2015-11-18,2015.0,11.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-11-18,SAMACA,2015-11-14,4.0,4.0,ventana_5dias,2015-11-18,<NA>,<NA>,<NA>,<NA>,150,2015-11-27 00:00:00,5,6,<NA>,<NA>,<NA>,<NA>,9,<NA>,1,,83,0.04972749948501587,0.09856750071048737,0.13145749270915985,0.10129000246524811,0.3293435573577881,0.09822900593280792,-0.14298443496227264,4.0,-10.325750350952148,-15.170510292053223,45.308868408203125,True,L8_2015_12.tif,2015,12,True,S1_2015_5.tif,2015-11-27
432.0,5.4697,-73.54927,299.84,0.4,0.37,2015-11-18,0619,N,VIIRS,n,2,276.85,0.91,N,2.0,2015-11-18,2015.0,11.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-11-18,SAMACA,2015-11-14,4.0,4.0,ventana_5dias,2015-11-18,<NA>,<NA>,<NA>,<NA>,150,2015-11-27 00:00:00,5,6,<NA>,<NA>,<NA>,<NA>,9,<NA>,1,,84,0.030615000054240227,0.05674000084400177,0.0595724992454052,0.06661249697208405,0.29906702041625977,0.05663932114839554,-0.024352485314011574,4.0,-10.390069007873535,-15.95680046081543,45.23937225341797,True,L8_2015_12.tif,2015,12,True,S1_2015_5.tif,2015-11-27
456.0,5.47438,-73.56262,367.0,0.41,0.61,2015-11-13,1857,N,VIIRS,h,2,291.03,6.0,D,0.0,2015-11-13,2015.0,11.0,13.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2015-11-13,SAMACA,2015-11-14,-1.0,1.0,ventana_5dias,2015-11-13,<NA>,<NA>,<NA>,<NA>,150,2015-11-27 00:00:00,5,6,150,2015-09-16 00:00:00,4,7,14,-58,1,,89,0.01923000067472458,0.07152125239372253,0.06963749974966049,0.049053750932216644,0.5764345526695251,0.11221309006214142,0.013298328965902328,4.0,-9.359922409057617,-14.080740928649902,45.169029235839844,True,L8_2015_12.tif,2015,12,True,S1_2015_5.tif,2015-11-27
