idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,RED,NIR,SWIR_1,SWIR_2,NDVI,EVI,NBR,IMG_COUNT,VV,VH,angle,l8_found,l8_file,l8_year,l8_month,s1_found,s1_file,s1_date
126.0,5.46884,-73.54912,296.47,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,277.5,0.7,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,20,0.044062498956918716,0.29170000553131104,0.1627800017595291,0.09831999987363815,0.737537682056427,0.43506619334220886,0.28366485238075256,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
128.0,5.47269,-73.55202,309.01,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,279.0,1.3,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,21,0.05968249961733818,0.11234500259160995,0.12191499769687653,0.09922750294208527,0.3061283826828003,0.10605070739984512,-0.04085202515125275,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
143.0,5.47876,-73.52623,304.88,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,281.0,0.99,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,27,0.08008749783039093,0.13052250444889069,0.1673174947500229,0.13770000636577606,0.23947109282016754,0.09491477906703949,-0.12353945523500443,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
306.0,5.46333,-73.55704,296.28,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,278.13,0.58,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,65,0.01537999976426363,0.10511250048875809,0.059985000640153885,0.033805001527071,0.7447143793106079,0.1907094269990921,0.2733384668827057,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
329.0,5.46663,-73.55652,306.82,0.38,0.36,2014-01-04,0625,N,VIIRS,n,2,279.32,1.07,N,2.0,2014-04-01,2014.0,4.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-01,SAMACA,2014-04-06,-5.0,5.0,ventana_5dias,2014-04-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,68,0.03342000022530556,0.058582499623298645,0.14553749561309814,0.4853000044822693,0.273497998714447,0.05563189089298248,-0.42599940299987793,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
343.0,5.46542,-73.55514,296.2,0.49,0.49,2014-01-08,0650,N,VIIRS,n,2,276.83,1.41,N,2.0,2014-08-01,2014.0,8.0,1.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-08-01,SAMACA,2014-08-01,0.0,0.0,exacta,2014-08-01,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,70,0.0237674992531538,0.0909774973988533,0.07049000263214111,0.04829749837517738,0.5857335925102234,0.14348448812961578,0.12688308954238892,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_02.tif,2014,2,False,,
16.0,5.47922,-73.51354,295.42,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.47,0.67,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,3,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_03.tif,2014,3,False,,
17.0,5.47701,-73.52529,300.45,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.82,1.14,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,4,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_03.tif,2014,3,False,,
21.0,5.61784,-73.31963,340.57,0.42,0.38,2014-02-02,1826,N,VIIRS,n,2,308.99,10.67,D,0.0,2014-02-02,2014.0,2.0,2.0,604.0,Cómbita,Boyacá,COMBITA,BOYACA,1.0,2014-02-02,COMBITA,2014-02-02,0.0,0.0,exacta,2014-02-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,5,0.17329874634742737,0.2901187539100647,0.3330187499523163,0.26924625039100647,0.2821815609931946,0.1939762979745865,-0.09064850956201553,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_03.tif,2014,3,False,,
38.0,5.47042,-73.55009,296.64,0.63,0.54,2014-02-14,0657,N,VIIRS,n,2,276.75,2.04,N,2.0,2014-02-14,2014.0,2.0,14.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-14,SAMACA,2014-02-15,-1.0,1.0,ventana_5dias,2014-02-14,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,6,0.053020624443888664,0.12587500363588333,0.13427624851465225,0.10620562359690666,0.3927915543317795,0.141348697245121,-0.016429626382887363,4.0,-8.644721508026123,-14.83647346496582,45.52752685546875,True,L8_2014_03.tif,2014,3,False,,
