idx_firms;latitude;longitude;brightness;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_t31;frp;daynight;type;acq_date_n;anio;mes;dia;index_righ;MpNombre;Depto;mpnombre_s;depto_std;join_ok;fecha_FIRM;mpnombre_1;fecha_UNGR;dif_dias_m;dif_dias_a;tipo_coinc;fire_date;orb_same;img_same;idx_same;slice_same;orb_post30;img_post30;idx_post30;slice_post;orb_pre30;img_pre30;idx_pre30;slice_pre3;dt_post_da;dt_pre_day;label;id;point_id;SR_B5_norm;SR_B6_norm;SR_B7_norm;NDVI_norm;EVI_norm;NBR_norm;NDWI_norm;VV;VH;angle;VVVH_ratio;VV_Difference;VH_Difference;VHVV_Difference;l8_found;l8_file;l8_year;l8_bimonth_start_month;l8_bimonth_label;l8_selection_rule;s1_found;s1_file;s1_date;s1_scene_index
869;5.47858;-73.5154;298.48;0.38;0.36;18/04/2017;622;N;VIIRS;n;2;277.44;0.58;N;0;18/04/2017;2017;4;18;539;Samacá;Boyacá;SAMACA;BOYACA;1;18/04/2017;SAMACA;14/04/2017;4;4;ventana_5dias;18/04/2017;<NA>;<NA>;<NA>;<NA>;150;14/05/2017 0:00;25;6;150;15/03/2017 0:00;11;6;26;-34;1;;209;1.089320898;0.021195123;-0.068780906;1.321568966;1.387366533;1.38985014;-0.116708711;1.341640949;1.456364989;-0.087854199;0.59147203;1.307129264;0.626822293;-0.118519776;True;L8_2017_may_jun_normalizado.tif;2017;5;may_jun;next_bimonth;True;S1_2017-04-27_3_prepost_indices_normalizado.tif;27/04/2017;3
893;5.48021;-73.52576;296.33;0.38;0.36;18/04/2017;622;N;VIIRS;n;2;276.78;0.73;N;2;18/04/2017;2017;4;18;539;Samacá;Boyacá;SAMACA;BOYACA;1;18/04/2017;SAMACA;14/04/2017;4;4;ventana_5dias;18/04/2017;<NA>;<NA>;<NA>;<NA>;150;14/05/2017 0:00;25;6;150;15/03/2017 0:00;11;6;26;-34;1;;211;-0.179490119;-0.141938999;0.090197667;0.434171289;0.053638574;0.427679211;0.505752385;0.231926903;0.592469156;-0.115715258;-0.541255593;1.034754395;-0.046714477;-0.582383931;True;L8_2017_may_jun_normalizado.tif;2017;5;may_jun;next_bimonth;True;S1_2017-04-27_3_prepost_indices_normalizado.tif;27/04/2017;3
898;5.47691;-73.52627;304.91;0.38;0.36;18/04/2017;622;N;VIIRS;n;2;278.98;0.73;N;2;18/04/2017;2017;4;18;539;Samacá;Boyacá;SAMACA;BOYACA;1;18/04/2017;SAMACA;14/04/2017;4;4;ventana_5dias;18/04/2017;<NA>;<NA>;<NA>;<NA>;150;14/05/2017 0:00;25;6;150;15/03/2017 0:00;11;6;26;-34;1;;213;-0.873254538;-0.590634346;-0.078253753;-0.358754873;-0.75474602;-0.026608057;1.576802015;0.309981048;0.513591111;-0.118871674;-0.102703825;0.504701078;1.366690278;1.543199182;True;L8_2017_may_jun_normalizado.tif;2017;5;may_jun;next_bimonth;True;S1_2017-04-27_3_prepost_indices_normalizado.tif;27/04/2017;3
947;5.47059;-73.54893;309.29;0.38;0.36;18/04/2017;622;N;VIIRS;n;2;275.78;1.04;N;2;18/04/2017;2017;4;18;539;Samacá;Boyacá;SAMACA;BOYACA;1;18/04/2017;SAMACA;14/04/2017;4;4;ventana_5dias;18/04/2017;<NA>;<NA>;<NA>;<NA>;150;14/05/2017 0:00;25;6;150;15/03/2017 0:00;11;6;26;-34;1;;217;-0.912827194;-0.120820329;1.939456463;-1.484227896;-1.093379021;-0.909431756;3.174317122;0.496070564;0.53242594;-0.186418623;0.411148876;-0.363085061;0.130666241;1.076776862;True;L8_2017_may_jun_normalizado.tif;2017;5;may_jun;next_bimonth;True;S1_2017-04-27_3_prepost_indices_normalizado.tif;27/04/2017;3
1021;5.46507;-73.55687;298.37;0.38;0.36;18/04/2017;622;N;VIIRS;n;2;275.66;0.62;N;2;18/04/2017;2017;4;18;539;Samacá;Boyacá;SAMACA;BOYACA;1;18/04/2017;SAMACA;14/04/2017;4;4;ventana_5dias;18/04/2017;<NA>;<NA>;<NA>;<NA>;150;14/05/2017 0:00;25;6;150;15/03/2017 0:00;11;6;26;-34;1;;228;-0.894510686;-0.514423549;0.022240493;-0.650961578;-0.879429042;-0.22542958;2.100790024;1.678445458;2.386722326;-0.215518534;-0.781905532;0.806787968;1.99370265;1.924270272;True;L8_2017_may_jun_normalizado.tif;2017;5;may_jun;next_bimonth;True;S1_2017-04-27_3_prepost_indices_normalizado.tif;27/04/2017;3
877;5.47787;-73.52545;312.41;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;281.89;1.41;N;2;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;210;-0.803380609;-0.019205799;1.201812267;-1.249966383;-1.034065247;-0.499661267;2.47356081;0.514387012;0.023843966;-0.118682824;1.77354157;-0.712797821;0.129499048;1.441238046;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
896;5.47959;-73.51431;297.51;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;279.63;0.94;N;0;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;212;-0.169992656;0.146683022;0.402388752;-0.124831513;-0.249283358;0.216086343;1.198973775;1.399029493;0.804772437;-0.086775087;2.439455748;1.054810047;-0.323372602;-0.910906971;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
932;5.47098;-73.54777;305.51;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;278.59;1.99;N;2;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;216;0.311888814;0.077511624;0.254942328;0.204648316;0.330272704;0.517788291;0.933507025;0.434375346;0.579034209;-0.185649037;0.104957603;2.605597734;1.147436261;-0.897826016;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
950;5.4721;-73.55493;302.21;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;279.16;0.93;N;2;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;218;-0.893832326;-0.53523612;-0.004942357;-0.903102577;-0.945046246;-0.184152365;1.969187975;1.137303352;1.408876419;-0.208158538;0.096122965;-0.192577705;-0.79076463;-0.125861317;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
951;5.4745;-73.52592;295.94;0.4;0.37;4/09/2017;617;N;VIIRS;n;2;279.77;0.63;N;0;9/04/2017;2017;4;9;539;Samacá;Boyacá;SAMACA;BOYACA;1;9/04/2017;SAMACA;14/04/2017;-5;5;ventana_5dias;9/04/2017;<NA>;<NA>;<NA>;<NA>;77;9/05/2017 0:00;24;7;77;10/03/2017 0:00;10;7;30;-30;1;;219;1.054723263;0.292983443;0.160214171;1.098942518;1.263636589;1.170227051;-0.122158103;0.036590703;0.204891905;-0.12183924;-0.135381892;0.816999495;-0.007299066;-0.310821772;True;L8_2017_sep_oct_normalizado.tif;2017;9;sep_oct;current_bimonth;True;S1_2017-09-06_0_prepost_indices_normalizado.tif;6/09/2017;0
