idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV,VH,angle,VVVH_ratio,VV_Difference,VH_Difference,VHVV_Difference,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_found,s1_file,s1_date,s1_scene_index
7.0,5.781,-73.5684,322.5,1.2,1.1,2014-09-29,1835,Aqua,MODIS,73,6.03,300.0,17.0,D,0.0,2014-09-29,2014.0,9.0,29.0,603.0,Gachantivá,Boyacá,GACHANTIVA,BOYACA,1.0,2014-09-29,GACHANTIVA,2014-09-29,0.0,0.0,exacta,2014-09-29,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,1,0.27774325013160706,0.3116535544395447,0.21046122908592224,0.764626681804657,0.4792511463165283,0.4041007459163666,0.11538109928369522,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
8.0,5.7796,-73.5784,318.1,1.2,1.1,2014-09-29,1835,Aqua,MODIS,65,6.03,298.7,11.3,D,0.0,2014-09-29,2014.0,9.0,29.0,600.0,Santa Sofía,Boyacá,SANTA SOFIA,BOYACA,1.0,2014-09-29,SANTA SOFIA,2014-09-30,-1.0,1.0,ventana_5dias,2014-09-29,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,2,0.3094012141227722,-0.3717958629131317,-0.3962109684944153,1.2069711685180664,0.7412111163139343,1.2915844917297363,-0.28270888328552246,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
16.0,5.47922,-73.51354,295.42,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.47,0.67,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,3,-0.09197799116373062,-0.5092203617095947,-0.29983529448509216,0.8935375213623047,0.27464866638183594,1.1827398538589478,0.20308847725391388,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
17.0,5.47701,-73.52529,300.45,0.39,0.44,2014-02-04,0645,N,VIIRS,n,2,280.82,1.14,N,2.0,2014-04-02,2014.0,4.0,2.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-04-02,SAMACA,2014-04-06,-4.0,4.0,ventana_5dias,2014-04-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,4,-0.8784555196762085,-0.7612671852111816,-0.3498764932155609,0.2634488642215729,-0.6125257611274719,0.32834067940711975,0.7678605318069458,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
21.0,5.61784,-73.31963,340.57,0.42,0.38,2014-02-02,1826,N,VIIRS,n,2,308.99,10.67,D,0.0,2014-02-02,2014.0,2.0,2.0,604.0,Cómbita,Boyacá,COMBITA,BOYACA,1.0,2014-02-02,COMBITA,2014-02-02,0.0,0.0,exacta,2014-02-02,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,5,1.0821980237960815,1.0632030963897705,0.8908568620681763,0.4667327404022217,0.8461619019508362,0.41698044538497925,0.6785557866096497,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
38.0,5.47042,-73.55009,296.64,0.63,0.54,2014-02-14,0657,N,VIIRS,n,2,276.75,2.04,N,2.0,2014-02-14,2014.0,2.0,14.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-14,SAMACA,2014-02-15,-1.0,1.0,ventana_5dias,2014-02-14,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,6,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
39.0,5.47182,-73.54288,295.91,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,280.38,0.96,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,7,-1.0779016017913818,-1.0491238832473755,-0.5358320474624634,-0.11511953920125961,-0.8715628981590271,0.6139814853668213,1.2354817390441895,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
40.0,5.47923,-73.52409,304.43,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.65,1.19,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,8,-0.45039287209510803,0.7753462791442871,2.209225654602051,-1.8268380165100098,-1.137091040611267,-0.9677635431289673,3.1598238945007324,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
61.0,5.47757,-73.51344,309.28,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.19,0.95,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,9,-1.1296851634979248,-1.003519892692566,-0.41803959012031555,-0.7167583107948303,-1.0236071348190308,0.1631009578704834,2.153576612472534,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
62.0,5.47641,-73.5281,295.79,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,282.4,0.78,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,10,-0.90434730052948,-0.8255414366722107,-0.47940701246261597,0.4710990786552429,-0.5741379857063293,0.42484337091445923,0.48319119215011597,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
63.0,5.47348,-73.55351,295.52,0.4,0.37,2014-02-16,0620,N,VIIRS,n,2,279.22,0.7,N,2.0,2014-02-16,2014.0,2.0,16.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2014-02-16,SAMACA,2014-02-15,1.0,1.0,ventana_5dias,2014-02-16,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,,11,-0.5962462425231934,-0.27171169221401215,0.24958810955286026,-0.24526266753673553,-0.5815051198005676,0.027375356294214725,1.2978092432022095,0.6911357939243317,0.587265819311142,-0.12227585539221764,0.6454354524612427,0.5030908584594727,0.3820801079273224,0.5463662147521973,True,L8_2017_ene_feb_normalizado.tif,2017,1,ene_feb,next_bimonth_fallback_next_available,False,,,
