idx_firms,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,acq_date_n,anio,mes,dia,index_righ,MpNombre,Depto,mpnombre_s,depto_std,join_ok,fecha_FIRM,mpnombre_1,fecha_UNGR,dif_dias_m,dif_dias_a,tipo_coinc,fire_date,orb_same,img_same,idx_same,slice_same,orb_post30,img_post30,idx_post30,slice_post,orb_pre30,img_pre30,idx_pre30,slice_pre3,dt_post_da,dt_pre_day,label,id,point_id,SR_B5_norm,SR_B6_norm,SR_B7_norm,NDVI_norm,EVI_norm,NBR_norm,NDWI_norm,VV,VH,angle,VVVH_ratio,VV_Difference_norm,VH_Difference_norm,VHVV_Difference_norm,l8_found,l8_file,l8_year,l8_bimonth_start_month,l8_bimonth_label,l8_selection_rule,s1_general_found,s1_general_file,s1_general_date,s1_general_scene_index,s1_difference_found,s1_difference_file,s1_difference_date,s1_difference_scene_index,s1_difference_selection_rule
869.0,5.47858,-73.5154,298.48,0.38,0.36,2017-04-18,0622,N,VIIRS,n,2,277.44,0.58,N,0.0,2017-04-18,2017.0,4.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-18,SAMACA,2017-04-14,4.0,4.0,ventana_5dias,2017-04-18,<NA>,<NA>,<NA>,<NA>,150,2017-05-14 00:00:00,25,6,150,2017-03-15 00:00:00,11,6,26,-34,1,,209,1.0893208980560303,0.021195122972130775,-0.06878090649843216,1.3215689659118652,1.387366533279419,1.38985013961792,-0.11670871078968048,1.3416409492492676,1.4563649892807007,-0.08785419911146164,0.5914720296859741,1.3071292638778687,0.626822292804718,-0.11851977556943893,True,L8_2017_may_jun_normalizado.tif,2017,5,may_jun,next_bimonth,True,S1_2017-04-27_3_prepost_indices_normalizado.tif,2017-04-27,3,True,S1_2017-04-15_2_prepost_indices_normalizado.tif,2017-04-15,2,closest_to_fire_date
893.0,5.48021,-73.52576,296.33,0.38,0.36,2017-04-18,0622,N,VIIRS,n,2,276.78,0.73,N,2.0,2017-04-18,2017.0,4.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-18,SAMACA,2017-04-14,4.0,4.0,ventana_5dias,2017-04-18,<NA>,<NA>,<NA>,<NA>,150,2017-05-14 00:00:00,25,6,150,2017-03-15 00:00:00,11,6,26,-34,1,,211,-0.1794901192188263,-0.14193899929523468,0.09019766747951508,0.43417128920555115,0.05363857373595238,0.4276792109012604,0.5057523846626282,0.23192690312862396,0.5924691557884216,-0.11571525782346725,-0.5412555932998657,1.0347543954849243,-0.046714477241039276,-0.582383930683136,True,L8_2017_may_jun_normalizado.tif,2017,5,may_jun,next_bimonth,True,S1_2017-04-27_3_prepost_indices_normalizado.tif,2017-04-27,3,True,S1_2017-04-15_2_prepost_indices_normalizado.tif,2017-04-15,2,closest_to_fire_date
898.0,5.47691,-73.52627,304.91,0.38,0.36,2017-04-18,0622,N,VIIRS,n,2,278.98,0.73,N,2.0,2017-04-18,2017.0,4.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-18,SAMACA,2017-04-14,4.0,4.0,ventana_5dias,2017-04-18,<NA>,<NA>,<NA>,<NA>,150,2017-05-14 00:00:00,25,6,150,2017-03-15 00:00:00,11,6,26,-34,1,,213,-0.8732545375823975,-0.5906343460083008,-0.07825375348329544,-0.35875487327575684,-0.7547460198402405,-0.02660805732011795,1.5768020153045654,0.3099810481071472,0.5135911107063293,-0.11887167394161224,-0.10270382463932037,0.5047010779380798,1.3666902780532837,1.5431991815567017,True,L8_2017_may_jun_normalizado.tif,2017,5,may_jun,next_bimonth,True,S1_2017-04-27_3_prepost_indices_normalizado.tif,2017-04-27,3,True,S1_2017-04-15_2_prepost_indices_normalizado.tif,2017-04-15,2,closest_to_fire_date
947.0,5.47059,-73.54893,309.29,0.38,0.36,2017-04-18,0622,N,VIIRS,n,2,275.78,1.04,N,2.0,2017-04-18,2017.0,4.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-18,SAMACA,2017-04-14,4.0,4.0,ventana_5dias,2017-04-18,<NA>,<NA>,<NA>,<NA>,150,2017-05-14 00:00:00,25,6,150,2017-03-15 00:00:00,11,6,26,-34,1,,217,-0.91282719373703,-0.12082032859325409,1.9394564628601074,-1.4842278957366943,-1.093379020690918,-0.9094317555427551,3.1743171215057373,0.4960705637931824,0.5324259400367737,-0.18641862273216248,0.41114887595176697,-0.3630850613117218,0.13066624104976654,1.0767768621444702,True,L8_2017_may_jun_normalizado.tif,2017,5,may_jun,next_bimonth,True,S1_2017-04-27_3_prepost_indices_normalizado.tif,2017-04-27,3,True,S1_2017-04-15_2_prepost_indices_normalizado.tif,2017-04-15,2,closest_to_fire_date
1021.0,5.46507,-73.55687,298.37,0.38,0.36,2017-04-18,0622,N,VIIRS,n,2,275.66,0.62,N,2.0,2017-04-18,2017.0,4.0,18.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-18,SAMACA,2017-04-14,4.0,4.0,ventana_5dias,2017-04-18,<NA>,<NA>,<NA>,<NA>,150,2017-05-14 00:00:00,25,6,150,2017-03-15 00:00:00,11,6,26,-34,1,,228,-0.8945106863975525,-0.5144235491752625,0.022240493446588516,-0.6509615778923035,-0.879429042339325,-0.22542957961559296,2.100790023803711,1.6784454584121704,2.3867223262786865,-0.2155185341835022,-0.7819055318832397,0.8067879676818848,1.9937026500701904,1.9242702722549438,True,L8_2017_may_jun_normalizado.tif,2017,5,may_jun,next_bimonth,True,S1_2017-04-27_3_prepost_indices_normalizado.tif,2017-04-27,3,True,S1_2017-04-15_2_prepost_indices_normalizado.tif,2017-04-15,2,closest_to_fire_date
877.0,5.47787,-73.52545,312.41,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,281.89,1.41,N,2.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,210,-0.8033806085586548,-0.01920579932630062,1.2018122673034668,-1.2499663829803467,-1.0340652465820312,-0.49966126680374146,2.4735608100891113,0.5143870115280151,0.02384396642446518,-0.11868282407522202,1.7735415697097778,-0.7127978205680847,0.12949904799461365,1.4412380456924438,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
896.0,5.47959,-73.51431,297.51,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.63,0.94,N,0.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,212,-0.16999265551567078,0.14668302237987518,0.4023887515068054,-0.12483151257038116,-0.24928335845470428,0.21608634293079376,1.1989737749099731,1.3990294933319092,0.8047724366188049,-0.08677508682012558,2.43945574760437,1.0548100471496582,-0.32337260246276855,-0.910906970500946,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
932.0,5.47098,-73.54777,305.51,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,278.59,1.99,N,2.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,216,0.31188881397247314,0.07751162350177765,0.2549423277378082,0.20464831590652466,0.33027270436286926,0.517788290977478,0.9335070252418518,0.4343753457069397,0.5790342092514038,-0.18564903736114502,0.10495760291814804,2.605597734451294,1.147436261177063,-0.8978260159492493,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
950.0,5.4721,-73.55493,302.21,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.16,0.93,N,2.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,218,-0.8938323259353638,-0.535236120223999,-0.004942356608808041,-0.9031025767326355,-0.9450462460517883,-0.18415236473083496,1.9691879749298096,1.137303352355957,1.4088764190673828,-0.20815853774547577,0.09612296521663666,-0.19257770478725433,-0.7907646298408508,-0.12586131691932678,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
951.0,5.4745,-73.52592,295.94,0.4,0.37,2017-09-04,0617,N,VIIRS,n,2,279.77,0.63,N,0.0,2017-04-09,2017.0,4.0,9.0,539.0,Samacá,Boyacá,SAMACA,BOYACA,1.0,2017-04-09,SAMACA,2017-04-14,-5.0,5.0,ventana_5dias,2017-04-09,<NA>,<NA>,<NA>,<NA>,77,2017-05-09 00:00:00,24,7,77,2017-03-10 00:00:00,10,7,30,-30,1,,219,1.0547232627868652,0.29298344254493713,0.16021417081356049,1.098942518234253,1.263636589050293,1.17022705078125,-0.12215810269117355,0.03659070283174515,0.20489190518856049,-0.121839240193367,-0.13538189232349396,0.8169994950294495,-0.007299065589904785,-0.3108217716217041,True,L8_2017_sep_oct_normalizado.tif,2017,9,sep_oct,current_bimonth,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,True,S1_2017-09-06_0_prepost_indices_normalizado.tif,2017-09-06,0,closest_to_fire_date
